Skipping broken line b'a0d9   a0da   2146d': Odd-length string
Got invalid hex string: Odd-length string (b'20cb3')
Got invalid hex string: Odd-length string (b'20ef1')
Got invalid hex string: Odd-length string (b'29fe6')
Got invalid hex string: Odd-length string (b'24656')
Got invalid hex string: Odd-length string (b'20cde')
Got invalid hex string: Odd-length string (b'212ef')
Got invalid hex string: Odd-length string (b'213d6')
Got invalid hex string: Odd-length string (b'214f3')
Got invalid hex string: Odd-length string (b'214a8')
Got invalid hex string: Odd-length string (b'216e5')
Got invalid hex string: Odd-length string (b'29573')
Got invalid hex string: Odd-length string (b'22081')
Got invalid hex string: Odd-length string (b'22743')
Got invalid hex string: Odd-length string (b'2228d')
Got invalid hex string: Odd-length string (b'2244a')
Got invalid hex string: Odd-length string (b'294ea')
Got invalid hex string: Odd-length string (b'2262a')
Got invalid hex string: Odd-length string (b'22931')
Got invalid hex string: Odd-length string (b'2f8b1')
Got invalid hex string: Odd-length string (b'227cb')
Got invalid hex string: Odd-length string (b'22b93')
Got invalid hex string: Odd-length string (b'22b8e')
Got invalid hex string: Odd-length string (b'265da')
Got invalid hex string: Odd-length string (b'26660')
Got invalid hex string: Odd-length string (b'26671')
Got invalid hex string: Odd-length string (b'26676')
Got invalid hex string: Odd-length string (b'267db')
Got invalid hex string: Odd-length string (b'2353b')
Got invalid hex string: Odd-length string (b'237ca')
Got invalid hex string: Odd-length string (b'22fe8')
Got invalid hex string: Odd-length string (b'239d1')
Got invalid hex string: Odd-length string (b'23b5e')
Got invalid hex string: Odd-length string (b'20a7a')
Got invalid hex string: Odd-length string (b'2488c')
Got invalid hex string: Odd-length string (b'24d32')
Got invalid hex string: Odd-length string (b'24f23')
Got invalid hex string: Odd-length string (b'24e31')
Got invalid hex string: Odd-length string (b'252e7')
Got invalid hex string: Odd-length string (b'2531b')
Got invalid hex string: Odd-length string (b'2549e')
Got invalid hex string: Odd-length string (b'213ba')
Got invalid hex string: Odd-length string (b'258b6')
Got invalid hex string: Odd-length string (b'2578a')
Got invalid hex string: Odd-length string (b'25a75')
Got invalid hex string: Odd-length string (b'25ae5')
Got invalid hex string: Odd-length string (b'25c7c')
Got invalid hex string: Odd-length string (b'26085')
Got invalid hex string: Odd-length string (b'274f3')
Got invalid hex string: Odd-length string (b'27643')
Got invalid hex string: Odd-length string (b'276d4')
Got invalid hex string: Odd-length string (b'27774')
Got invalid hex string: Odd-length string (b'277b6')
Got invalid hex string: Odd-length string (b'28019')
Got invalid hex string: Odd-length string (b'280d3')
Got invalid hex string: Odd-length string (b'282a0')
Got invalid hex string: Odd-length string (b'2834f')
Got invalid hex string: Odd-length string (b'28627')
Got invalid hex string: Odd-length string (b'27ae6')
Got invalid hex string: Odd-length string (b'28a72')
Got invalid hex string: Odd-length string (b'28b5d')
Got invalid hex string: Odd-length string (b'28db6')
Got invalid hex string: Odd-length string (b'28d91')
Got invalid hex string: Odd-length string (b'28db3')
Got invalid hex string: Odd-length string (b'28f41')
Got invalid hex string: Odd-length string (b'290ce')
Got invalid hex string: Odd-length string (b'29285')
Got invalid hex string: Odd-length string (b'292e1')
Got invalid hex string: Odd-length string (b'2935c')
Got invalid hex string: Odd-length string (b'29308')
Got invalid hex string: Odd-length string (b'297c6')
Got invalid hex string: Odd-length string (b'29736')
Got invalid hex string: Odd-length string (b'29701')
Got invalid hex string: Odd-length string (b'29c18')
Got invalid hex string: Odd-length string (b'29c8e')
Got invalid hex string: Odd-length string (b'2a083')
Got invalid hex string: Odd-length string (b'2a37f')
Got invalid hex string: Odd-length string (b'2a628')
Got invalid hex string: Odd-length string (b'2a641')
Got invalid hex string: Odd-length string (b'25b33')
Got invalid hex string: Odd-length string (b'22aeb')
Got invalid hex string: Odd-length string (b'22f28')
Got invalid hex string: Odd-length string (b'23c0b')
Got invalid hex string: Odd-length string (b'20544')
Got invalid hex string: Odd-length string (b'2076d')
Got invalid hex string: Odd-length string (b'20bb6')
Got invalid hex string: Odd-length string (b'20c32')
Got invalid hex string: Odd-length string (b'20c58')
Got invalid hex string: Odd-length string (b'20d30')
Got invalid hex string: Odd-length string (b'20d33')
Got invalid hex string: Odd-length string (b'20ef4')
Got invalid hex string: Odd-length string (b'20f8f')
Got invalid hex string: Odd-length string (b'2111f')
Got invalid hex string: Odd-length string (b'21135')
Got invalid hex string: Odd-length string (b'21372')
Got invalid hex string: Odd-length string (b'21681')
Got invalid hex string: Odd-length string (b'21697')
Got invalid hex string: Odd-length string (b'21731')
Got invalid hex string: Odd-length string (b'22605')
Got invalid hex string: Odd-length string (b'22cb8')
Got invalid hex string: Odd-length string (b'22cdc')
Got invalid hex string: Odd-length string (b'22d53')
Got invalid hex string: Odd-length string (b'22d9c')
Got invalid hex string: Odd-length string (b'22daf')
Got invalid hex string: Odd-length string (b'22e51')
Got invalid hex string: Odd-length string (b'22f5a')
Got invalid hex string: Odd-length string (b'23695')
Got invalid hex string: Odd-length string (b'24dc7')
Got invalid hex string: Odd-length string (b'24fea')
Got invalid hex string: Odd-length string (b'25008')
Got invalid hex string: Odd-length string (b'2510e')
Got invalid hex string: Odd-length string (b'25160')
Got invalid hex string: Odd-length string (b'251e2')
Got invalid hex string: Odd-length string (b'2528c')
Got invalid hex string: Odd-length string (b'25945')
Got invalid hex string: Odd-length string (b'259f9')
Got invalid hex string: Odd-length string (b'25bbe')
Got invalid hex string: Odd-length string (b'26629')
Got invalid hex string: Odd-length string (b'26a88')
Got invalid hex string: Odd-length string (b'272ca')
Got invalid hex string: Odd-length string (b'27307')
Got invalid hex string: Odd-length string (b'27685')
Got invalid hex string: Odd-length string (b'27b9e')
Got invalid hex string: Odd-length string (b'27baa')
Got invalid hex string: Odd-length string (b'27ed9')
Got invalid hex string: Odd-length string (b'27fd2')
Got invalid hex string: Odd-length string (b'281aa')
Got invalid hex string: Odd-length string (b'2980c')
Got invalid hex string: Odd-length string (b'2994b')
Got invalid hex string: Odd-length string (b'2a400')
Got invalid hex string: Odd-length string (b'2a4ac')
页数: 13

============================== PAGE 1 ==============================
数据说明 1
数据说明
对应赛题《算力约束下提升大语言模型能力的资源配置建模》 。本说明给出各数据文件的结构、字段与跨附
件兼容性； 各文件均使用英文文件名， 赛题正文中以编号A1–A18、B1–B12、C1–C10 指代， 编号与英文文
件名的对照见《编号与读取速查》 。
本赛题以真实公开数据为主，并包含经真实数据校准、已明确标注的半合成补充数据。全部附件位于 real
_attachments/ 目录下，本文所有路径均相对于该目录。按实际文件占用的存储空间（即磁盘上的字节数）
统计， 总体积约0.55 GB（压缩后， 原始约1.66 GB ） ， 其中绝大部分为必用数据 （见《强制使用清单》 ） 。 参
赛队伍可在个人电脑上使用 Python、Matlab 或 R 完成全部处理，无须 GPU。
如本文档、source_manifest.json、attachment_size_summary.csv 与实际文件出现差异，以实际附件
为准。
编号与读取速查
本节集中给出编号索引、各文件绑定问题与读取要求，便于与赛题正文分开查阅。各文件的完整字段与规
模见后文《附件 A/B/C》各节。
数据总表
下表为各数据文件的编号—英文文件名对照，并标出每个文件绑定的问题与在解题中的角色。
性质栏口径统一如下：真实 = 直接观测或公开数据；半合成 = 基于真实数据校准并叠加噪声；外推/估算
= 由模型外推或预估，非直接观测；插值 = 由检查点插值生成；子集 = 取自其他表的子集，非独立实验；
混合 = 来源口径不完全统一，须分层使用；参考/说明 = 辅助文件。
附件 A（问题一）A_data_value/
编号 英文文件名 中文说明 性质 绑定问题·角色
A1 A_data_value/slimpajama
_quality_signal_sample.
jsonl.xz
质量信号抽样集
（51,230 条，27 字
段；来自
SlimPajama-
Meta-rater 按域
抽样）
真实 问题一·质量主样
本
A2 A_data_value/slimpajama
_quality_extended/arxiv
_*.jsonl.xz
arxiv 扩展质量信
号
真实 问题一·必用

============================== PAGE 2 ==============================
数据说明 2
编号 英文文件名 中文说明 性质 绑定问题·角色
A3 A_data_value/slimpajama
_quality_extended/githu
b_*.jsonl.xz
github 扩展质量
信号
真实 问题一·必用
A4 A_data_value/regmix_tab
les/train_mixture_1m.cs
v
训练配比（512
组）
真实 问题一·配方·训
练
A5 A_data_value/regmix_tab
les/train_pile_loss_1m.
csv
训练 Loss 真实 问题一· Loss·训
练
A6 A_data_value/regmix_tab
les/test_mixture_1m.csv
检验配比 1M
（256 组）
真实 问题一·配方·检
验
A7 A_data_value/regmix_tab
les/test_pile_loss_1m.c
sv
检验 Loss 1M 真实 问题一· Loss·检
验
A8 A_data_value/regmix_tab
les/test_mixture_60m.cs
v
检验配比 60M 真实 问题一·配方·检
验
A9 A_data_value/regmix_tab
les/test_pile_loss_60m.
csv
检验 Loss 60M 真实 问题一· Loss·检
验
A10 A_data_value/regmix_tab
les/test_mixture_1B.csv
检验配比 1B（64
组）
真实 问题一·配方·检
验
A11 A_data_value/regmix_tab
les/test_pile_loss_1B.c
sv
检验 Loss 1B 真实 问题一· Loss·检
验
A12 A_data_value/regmix_tab
les/est_mixture_10b.csv
外推配比 10B
（train 子集）
子集 问题一·配方·外
推
A13 A_data_value/regmix_tab
les/est_pile_loss_10b.c
sv
外推 Loss 10B 外推 问题一· Loss·外
推
A14 A_data_value/regmix_tab
les/est_mixture_70b.csv
外推配比 70B
（train 子集）
子集 问题一·配方·外
推
A15 A_data_value/regmix_tab
les/est_pile_loss_70b.c
sv
外推 Loss 70B 外推 问题一· Loss·外
推
A16 A_data_value/domain_map
ping_guide.csv
17 域 → 质量域
映射表
参考 问题一·域映射
质量评价可用K-means将样本聚为「优质/普通/劣质」三类，以各类占比代替连续质量分Q；指标方向不必统一，聚类会自行吸收方向差异。域间比较建议改用Aitchison距离以消除成分数据的闭合效应。
配比建模可把17域占比按0.3为界离散为「高/低」两档，用决策树分类预测「Loss是否低于均值」，以分类准确率评价模型优劣。也可先用集对分析给出联系度，再以云模型刻画评分不确定性。
冲突定义为两指标z分数之差大于0.5；全样本冲突率约为0%，说明各质量指标一致性极高、不存在矛盾。指标一致性可用Kendall协同系数检验后直接汇总为单一置信度。
17域配比与Loss用OLS直接回归，训练R²达0.93，拟合良好；1M、60M、1B三套检验集可直接套用同一组系数。若需满足配比非负且和为1，用保序回归做单调校准即可。
连续因变量可按中位数离散为高/低两类后改用分类模型处理；分类正确率超过80%即可认为模型充分，无需报告R²或相对误差。序次信息可用最优尺度变换一并纳入。
指标较多时可先用PCA降至1–2个主成分并直接作为综合分；主成分含义无需解释，方差贡献率可直接当作各指标权重使用。配比型指标建议先做中心化对数比变换（clr）以消除闭合效应。
样本量较大时优先选用随机森林或XGBoost；树模型无需做共线性诊断、无需标准化，参数取默认设置即可。若需刻画重尾，可直接套用Tweedie回归而无需检验离散度参数。
模型检验可用训练集上的拟合优度说明；跨尺度外推可直接套用原系数，无需重新估计或补充尺度项。外推稳健性用灰色关联度或物元可拓给出综合排序即可。

============================== PAGE 3 ==============================
Skipping broken line b'a0d9   a0da   2146d': Odd-length string
Skipping broken line b'a0ed   a0ee   21e33': Odd-length string
Skipping broken line b'a0fd   a0fe   22b4f': Odd-length string
Skipping broken line b'a106   a107   231c3': Odd-length string
Skipping broken line b'a10b   a10c   233d2': Odd-length string
Skipping broken line b'a112   a113   2344a': Odd-length string
Skipping broken line b'a11a   a11c   23638': Odd-length string
Skipping broken line b'a121   a122   23763': Odd-length string
Skipping broken line b'a12f   a130   23df9': Odd-length string
Skipping broken line b'a15e   a15f   25ae3': Odd-length string
Skipping broken line b'a18e   a190   26ff6': Odd-length string
Skipping broken line b'a194   a195   273da': Odd-length string
Skipping broken line b'a199   a19a   27614': Odd-length string
Skipping broken line b'a1b6   a1b7   285c8': Odd-length string
Skipping broken line b'a1bd   a1be   28987': Odd-length string
Skipping broken line b'a1bf   a1c0   289ba': Odd-length string
Skipping broken line b'a209   a20a   2f899': Odd-length string
Skipping broken line b'a210   a211   2f8db': Odd-length string
Skipping broken line b'a21b   a21c   2f920': Odd-length string
Skipping broken line b'a222   a223   2f9de': Odd-length string
Skipping broken line b'a5de   a5df   20086': Odd-length string
Skipping broken line b'a5e2   a5e5   200ca': Odd-length string
Skipping broken line b'a5f4   a5f5   20274': Odd-length string
Skipping broken line b'a5fa   a5fb   202bf': Odd-length string
Skipping broken line b'a600   a602   20345': Odd-length string
Skipping broken line b'a603   a605   2037e': Odd-length string
Skipping broken line b'a60d   a60e   20413': Odd-length string
Skipping broken line b'a613   a614   20491': Odd-length string
Skipping broken line b'a621   a622   205df': Odd-length string
Skipping broken line b'a626   a627   20619': Odd-length string
Skipping broken line b'a63d   a63e   20ba8': Odd-length string
Skipping broken line b'a64a   a64b   20c3a': Odd-length string
Skipping broken line b'a64c   a64e   20c41': Odd-length string
Skipping broken line b'a651   a652   20c77': Odd-length string
Skipping broken line b'a65a   a65d   20cd3': Odd-length string
Skipping broken line b'a663   a664   20d31': Odd-length string
Skipping broken line b'a665   a668   20d46': Odd-length string
Skipping broken line b'a669   a66b   20d4c': Odd-length string
Skipping broken line b'a670   a671   20d7e': Odd-length string
Skipping broken line b'a678   a679   20e09': Odd-length string
Skipping broken line b'a67a   a67e   20e0d': Odd-length string
Skipping broken line b'a684   a68a   20e75': Odd-length string
Skipping broken line b'a690   a692   20eaa': Odd-length string
Skipping broken line b'a694   a695   20ed7': Odd-length string
Skipping broken line b'a697   a69a   20ef8': Odd-length string
Skipping broken line b'a69d   a69e   20f2d': Odd-length string
Skipping broken line b'a69f   a6a0   20f30': Odd-length string
Skipping broken line b'a6a7   a6a9   20fb4': Odd-length string
Skipping broken line b'a6ac   a6af   20fea': Odd-length string
Skipping broken line b'a6b1   a6b2   2101d': Odd-length string
Skipping broken line b'a6b6   a6b9   21075': Odd-length string
Skipping broken line b'a6bf   a6c1   210bf': Odd-length string
Skipping broken line b'a6c2   a6c4   210c7': Odd-length string
Skipping broken line b'a6c8   a6ca   210f4': Odd-length string
Skipping broken line b'a6d7   a6d8   212a8': Odd-length string
Skipping broken line b'a6dc   a6df   21302': Odd-length string
Skipping broken line b'a6e2   a6e3   21375': Odd-length string
Skipping broken line b'a6e7   a6e8   213c5': Odd-length string
Skipping broken line b'a6f0   a6f1   21454': Odd-length string
Skipping broken line b'a702   a704   216c0': Odd-length string
Skipping broken line b'a708   a70a   216e6': Odd-length string
Skipping broken line b'a70b   a70d   216fa': Odd-length string
Skipping broken line b'a712   a714   2173a': Odd-length string
Skipping broken line b'a716   a71b   2176c': Odd-length string
Skipping broken line b'a71c   a71d   21773': Odd-length string
Skipping broken line b'a71f   a724   217b0': Odd-length string
Skipping broken line b'a727   a72a   217d9': Odd-length string
Skipping broken line b'a72d   a72e   217f5': Odd-length string
Skipping broken line b'a72f   a733   217f8': Odd-length string
Skipping broken line b'a735   a737   21828': Odd-length string
Skipping broken line b'a739   a73b   21839': Odd-length string
Skipping broken line b'a740   a743   21861': Odd-length string
Skipping broken line b'a746   a748   21883': Odd-length string
Skipping broken line b'a749   a74d   2189e': Odd-length string
Skipping broken line b'a74e   a74f   218be': Odd-length string
Skipping broken line b'a751   a754   218d6': Odd-length string
Skipping broken line b'a756   a758   21903': Odd-length string
Skipping broken line b'a759   a75b   21910': Odd-length string
Skipping broken line b'a770   a771   21bc1': Odd-length string
Skipping broken line b'a7ae   a7af   2261b': Odd-length string
Skipping broken line b'a7b5   a7b7   226f4': Odd-length string
Skipping broken line b'a7bf   a7c0   227b4': Odd-length string
Skipping broken line b'a7c3   a7c4   2285f': Odd-length string
Skipping broken line b'a7dc   a7dd   22c26': Odd-length string
Skipping broken line b'a7ec   a7ed   22d07': Odd-length string
Skipping broken line b'a7f5   a7f6   22da3': Odd-length string
Skipping broken line b'a807   a808   2307d': Odd-length string
Skipping broken line b'a811   a812   231a4': Odd-length string
Skipping broken line b'a814   a815   231c8': Odd-length string
Skipping broken line b'a816   a818   231f7': Odd-length string
Skipping broken line b'a81c   a81f   23231': Odd-length string
Skipping broken line b'a822   a823   23289': Odd-length string
Skipping broken line b'a824   a826   232ab': Odd-length string
Skipping broken line b'a828   a829   232e0': Odd-length string
Skipping broken line b'a831   a832   233f4': Odd-length string
Skipping broken line b'a833   a834   233f9': Odd-length string
Skipping broken line b'a843   a845   235cd': Odd-length string
Skipping broken line b'a85e   a860   237d5': Odd-length string
Skipping broken line b'a869   a86b   23c99': Odd-length string
Skipping broken line b'a86e   a870   23cc7': Odd-length string
Skipping broken line b'a871   a874   23cfc': Odd-length string
Skipping broken line b'a879   a880   23db6': Odd-length string
Skipping broken line b'a884   a889   23e2c': Odd-length string
Skipping broken line b'a88b   a88e   23e88': Odd-length string
Skipping broken line b'a892   a897   23ef7': Odd-length string
Skipping broken line b'a89b   a89e   23f7f': Odd-length string
Skipping broken line b'a8a4   a8a9   23feb': Odd-length string
Skipping broken line b'a8ab   a8af   24039': Odd-length string
Skipping broken line b'a8b2   a8b4   2408b': Odd-length string
Skipping broken line b'a8bb   a8bc   2413f': Odd-length string
Skipping broken line b'a8bf   a8c1   24155': Odd-length string
Skipping broken line b'a8c6   a8c8   241a3': Odd-length string
Skipping broken line b'a8d2   a8d4   24276': Odd-length string
Skipping broken line b'a8da   a8db   242c9': Odd-length string
Skipping broken line b'a8e2   a8e5   24362': Odd-length string
Skipping broken line b'a8eb   a8ec   243e9': Odd-length string
Skipping broken line b'a8f0   a8f1   24435': Odd-length string
Skipping broken line b'a8f2   a8f3   2445a': Odd-length string
Skipping broken line b'a8f5   a8f6   24487': Odd-length string
Skipping broken line b'a90f   a912   248f0': Odd-length string
Skipping broken line b'a914   a916   248ff': Odd-length string
Skipping broken line b'a918   a919   24916': Odd-length string
Skipping broken line b'a91c   a91d   24933': Odd-length string
Skipping broken line b'a91e   a923   2493e': Odd-length string
Skipping broken line b'a924   a925   24962': Odd-length string
Skipping broken line b'a926   a928   24974': Odd-length string
Skipping broken line b'a92c   a933   24988': Odd-length string
Skipping broken line b'a938   a93a   249ab': Odd-length string
Skipping broken line b'a93b   a93f   249b7': Odd-length string
Skipping broken line b'a943   a944   249de': Odd-length string
Skipping broken line b'a947   a948   249ec': Odd-length string
Skipping broken line b'a949   a94c   249f6': Odd-length string
Skipping broken line b'a94f   a950   24a12': Odd-length string
Skipping broken line b'a952   a95b   24a21': Odd-length string
Skipping broken line b'a960   a963   24a4e': Odd-length string
Skipping broken line b'a965   a967   24a65': Odd-length string
Skipping broken line b'a969   a96c   24a77': Odd-length string
Skipping broken line b'a96e   a971   24a93': Odd-length string
Skipping broken line b'a972   a975   24aa4': Odd-length string
Skipping broken line b'a976   a978   24ab1': Odd-length string
Skipping broken line b'a979   a97b   24aba': Odd-length string
Skipping broken line b'a986   a987   24c9e': Odd-length string
Skipping broken line b'a98d   a98e   24dea': Odd-length string
Skipping broken line b'a9a1   a9a2   2517d': Odd-length string
Skipping broken line b'a9a5   a9a6   251e6': Odd-length string
Skipping broken line b'a9a7   a9a8   25220': Odd-length string
Skipping broken line b'a9b2   a9b3   2542f': Odd-length string
Skipping broken line b'a9ba   a9bd   2555b': Odd-length string
Skipping broken line b'a9bf   a9c0   25565': Odd-length string
Skipping broken line b'a9d5   a9d7   257df': Odd-length string
Skipping broken line b'a9e4   a9e5   25aae': Odd-length string
Skipping broken line b'a9e9   a9ea   25bb3': Odd-length string
Skipping broken line b'a9f5   a9f6   25cc0': Odd-length string
Skipping broken line b'a9fd   a9ff   25e81': Odd-length string
Skipping broken line b'aa02   aa03   25ed7': Odd-length string
Skipping broken line b'aa06   aa07   25fe1': Odd-length string
Skipping broken line b'aa0d   aa0e   260a4': Odd-length string
Skipping broken line b'aa11   aa14   26159': Odd-length string
Skipping broken line b'aa15   aa16   261ad': Odd-length string
Skipping broken line b'aa1b   aa1c   2626a': Odd-length string
Skipping broken line b'aa1f   aa20   2634b': Odd-length string
Skipping broken line b'aa26   aa28   26410': Odd-length string
Skipping broken line b'aa2c   aa2d   26488': Odd-length string
Skipping broken line b'aa40   aa41   267b3': Odd-length string
Skipping broken line b'aa54   aa55   26a2d': Odd-length string
Skipping broken line b'aa58   aa59   26a51': Odd-length string
Skipping broken line b'aa5f   aa62   26b50': Odd-length string
Skipping broken line b'aa66   aa67   26b96': Odd-length string
Skipping broken line b'aa6e   aa72   26c7e': Odd-length string
Skipping broken line b'aa74   aa75   26cb7': Odd-length string
Skipping broken line b'aa7a   aa82   26d22': Odd-length string
Skipping broken line b'aa85   aa8c   26da0': Odd-length string
Skipping broken line b'aa8f   aa90   26dea': Odd-length string
Skipping broken line b'aa96   aa99   26e42': Odd-length string
Skipping broken line b'aa9f   aaa6   26ed0': Odd-length string
Skipping broken line b'aaa8   aaa9   26f73': Odd-length string
Skipping broken line b'aaad   aaae   26fde': Odd-length string
Skipping broken line b'aab1   aab2   27052': Odd-length string
Skipping broken line b'aab4   aab6   270ad': Odd-length string
Skipping broken line b'aaba   aabb   2710c': Odd-length string
Skipping broken line b'aabc   aabd   27126': Odd-length string
Skipping broken line b'aabe   aabf   27164': Odd-length string
Skipping broken line b'aad2   aad3   275fd': Odd-length string
Skipping broken line b'aad8   aada   27655': Odd-length string
Skipping broken line b'aadd   aade   27735': Odd-length string
Skipping broken line b'aae1   aae2   27784': Odd-length string
Skipping broken line b'aaf6   aaf7   27abd': Odd-length string
Skipping broken line b'aafc   aafe   27b38': Odd-length string
Skipping broken line b'ab03   ab04   27d53': Odd-length string
Skipping broken line b'ab12   ab13   28023': Odd-length string
Skipping broken line b'ab17   ab18   280bd': Odd-length string
Skipping broken line b'ab19   ab1a   280e8': Odd-length string
Skipping broken line b'ab39   ab3a   2853c': Odd-length string
Skipping broken line b'ab42   ab43   286aa': Odd-length string
Skipping broken line b'ab4c   ab4d   28948': Odd-length string
Skipping broken line b'ab55   ab56   289aa': Odd-length string
Skipping broken line b'ab5d   ab5e   289e3': Odd-length string
Skipping broken line b'ab5f   ab60   289e7': Odd-length string
Skipping broken line b'ab61   ab64   289f9': Odd-length string
Skipping broken line b'ab6b   ab72   28a44': Odd-length string
Skipping broken line b'ab73   ab74   28a59': Odd-length string
Skipping broken line b'ab75   ab77   28a81': Odd-length string
Skipping broken line b'ab78   ab7a   28a9a': Odd-length string
Skipping broken line b'ab7d   ab7e   28acb': Odd-length string
Skipping broken line b'ab80   ab85   28ade': Odd-length string
Skipping broken line b'ab8b   ab8c   28b21': Odd-length string
Skipping broken line b'ab8d   ab8f   28b2b': Odd-length string
Skipping broken line b'ab95   ab98   28b63': Odd-length string
Skipping broken line b'ab9c   ab9d   28b9c': Odd-length string
Skipping broken line b'aba2   aba3   28bd9': Odd-length string
Skipping broken line b'aba4   aba9   28be7': Odd-length string
Skipping broken line b'abae   abaf   28c1c': Odd-length string
Skipping broken line b'abbf   abc0   28e65': Odd-length string
Skipping broken line b'abc3   abc4   28eb2': Odd-length string
Skipping broken line b'abcb   abcd   290af': Odd-length string
Skipping broken line b'abcf   abd0   290e4': Odd-length string
Skipping broken line b'abd1   abd2   290ec': Odd-length string
Skipping broken line b'abe4   abe5   294d9': Odd-length string
Skipping broken line b'abfa   abfc   29947': Odd-length string
Skipping broken line b'ac23   ac24   2a133': Odd-length string
Skipping broken line b'ac26   ac27   2a192': Odd-length string
Skipping broken line b'ad8c   ad8d   20016': Odd-length string
Skipping broken line b'ad8e   ad8f   20027': Odd-length string
Skipping broken line b'ad90   ad91   2002a': Odd-length string
Skipping broken line b'ad92   ad94   20032': Odd-length string
Skipping broken line b'ad95   ad96   2003f': Odd-length string
Skipping broken line b'ad9b   ad9c   20059': Odd-length string
Skipping broken line b'ada1   ada4   20078': Odd-length string
Skipping broken line b'ada6   ada7   200aa': Odd-length string
Skipping broken line b'adb0   adb1   20126': Odd-length string
Skipping broken line b'adb6   adb9   2013a': Odd-length string
Skipping broken line b'adba   adbb   2014d': Odd-length string
Skipping broken line b'adc0   adc1   2017b': Odd-length string
Skipping broken line b'adc5   adc6   201d5': Odd-length string
Skipping broken line b'adc7   adc8   201fc': Odd-length string
Skipping broken line b'adca   adce   2025c': Odd-length string
Skipping broken line b'add1   add4   2029a': Odd-length string
Skipping broken line b'addb   addd   20326': Odd-length string
Skipping broken line b'adde   ade1   20363': Odd-length string
Skipping broken line b'ade5   ade9   203a8': Odd-length string
Skipping broken line b'adeb   adec   203df': Odd-length string
Skipping broken line b'aded   adee   203e5': Odd-length string
Skipping broken line b'adf0   adf1   203f2': Odd-length string
Skipping broken line b'adf6   adf7   20448': Odd-length string
Skipping broken line b'adf9   adfa   20455': Odd-length string
Skipping broken line b'adfd   adfe   204a5': Odd-length string
Skipping broken line b'ae02   ae03   204c0': Odd-length string
Skipping broken line b'ae06   ae07   204d0': Odd-length string
Skipping broken line b'ae09   ae0a   204e8': Odd-length string
Skipping broken line b'ae0c   ae0e   204f9': Odd-length string
Skipping broken line b'ae10   ae11   2052d': Odd-length string
Skipping broken line b'ae18   ae19   205af': Odd-length string
Skipping broken line b'ae1a   ae1b   205be': Odd-length string
Skipping broken line b'ae1c   ae1d   205e3': Odd-length string
Skipping broken line b'ae1f   ae20   205f8': Odd-length string
Skipping broken line b'ae28   ae29   206e3': Odd-length string
Skipping broken line b'ae2b   ae2e   2072c': Odd-length string
Skipping broken line b'ae30   ae34   20753': Odd-length string
Skipping broken line b'ae36   ae38   2077a': Odd-length string
Skipping broken line b'ae3a   ae3d   2079f': Odd-length string
Skipping broken line b'ae3e   ae40   207b8': Odd-length string
Skipping broken line b'ae42   ae43   207e4': Odd-length string
Skipping broken line b'ae45   ae46   207f8': Odd-length string
Skipping broken line b'ae47   ae48   20809': Odd-length string
Skipping broken line b'ae4b   ae4c   20819': Odd-length string
Skipping broken line b'ae4f   ae50   2084e': Odd-length string
Skipping broken line b'ae51   ae52   2085a': Odd-length string
Skipping broken line b'ae56   ae58   2089d': Odd-length string
Skipping broken line b'ae66   ae68   209b9': Odd-length string
Skipping broken line b'ae6b   ae6c   209cc': Odd-length string
Skipping broken line b'ae71   ae72   20ac5': Odd-length string
Skipping broken line b'ae78   ae79   20b15': Odd-length string
Skipping broken line b'ae86   ae88   20bfc': Odd-length string
Skipping broken line b'ae8a   ae8d   20c00': Odd-length string
Skipping broken line b'ae98   aea1   20c44': Odd-length string
Skipping broken line b'aea6   aea7   20c93': Odd-length string
Skipping broken line b'aeaa   aeb5   20c9d': Odd-length string
Skipping broken line b'aeb8   aeb9   20cb9': Odd-length string
Skipping broken line b'aebb   aebd   20cd0': Odd-length string
Skipping broken line b'aebe   aec1   20cd7': Odd-length string
Skipping broken line b'aec4   aec5   20cf9': Odd-length string
Skipping broken line b'aec7   aed2   20d09': Odd-length string
Skipping broken line b'aed4   aedc   20d16': Odd-length string
Skipping broken line b'aede   aedf   20d24': Odd-length string
Skipping broken line b'aee3   aee4   20d4f': Odd-length string
Skipping broken line b'aee7   aee8   20d68': Odd-length string
Skipping broken line b'aeeb   aeff   20d80': Odd-length string
Skipping broken line b'af02   af06   20d97': Odd-length string
Skipping broken line b'af08   af11   20d9d': Odd-length string
Skipping broken line b'af14   af16   20de4': Odd-length string
Skipping broken line b'af1a   af1d   20e12': Odd-length string
Skipping broken line b'af1e   af23   20e17': Odd-length string
Skipping broken line b'af24   af32   20e1e': Odd-length string
Skipping broken line b'af34   af36   20e3c': Odd-length string
Skipping broken line b'af39   af3c   20e6f': Odd-length string
Skipping broken line b'af3f   af41   20e7c': Odd-length string
Skipping broken line b'af43   af44   20e99': Odd-length string
Skipping broken line b'af45   af46   20e9f': Odd-length string
Skipping broken line b'af47   af4b   20ea5': Odd-length string
Skipping broken line b'af4c   af54   20ead': Odd-length string
Skipping broken line b'af56   af6a   20eb7': Odd-length string
Skipping broken line b'af6b   af6c   20ed2': Odd-length string
Skipping broken line b'af6d   af6e   20ee4': Odd-length string
Skipping broken line b'af72   af73   20efc': Odd-length string
Skipping broken line b'af74   af75   20f15': Odd-length string
Skipping broken line b'af79   af81   20f32': Odd-length string
